Opatówek,18.2051618,51.7318422
Yongfa,116.700277,23.364295
Tsurusaki,131.6853045,33.2437603
Calaya,121.6308947,13.9441866
Xinglongquan,121.369038,37.546455
Gyumri,43.8464971,40.7929026
Pofadder,19.295048,-28.7523
Åkersberga,18.4207352,59.4871523
Cikadu,107.2666396,-7.2929068
Bela Vista,-56.4719928,-21.9111483
Marataizes,-42.4548328,-19.4704956
Pulaupinang,115.0406679,-3.112524
Makuyuni,36.1029284,-3.5451284
Yingwusitang,77.6012162,39.2166313
Lamphun,99.0571089,18.5422768
Mehrān,46.1732912,33.1176647
Jixi,130.969333,45.295075
Valle Grande,-58.5125025,-34.5128294
Wucun,114.305539,30.592849
Lagoa da Prata,-45.5313666,-20.0292302
Oinoússes,26.2363678,38.5193772
Saraqinishtë,20.2318416,40.1063792
Jasienica Rosielna,21.9201324,49.7442318
Novopskov,39.1790911,49.6700809
Нераште,21.10889,42.10667
Montauban,1.378056,44.025555
Ximafang,112.032036,38.665105
18 de Marzo,-92.9706816,17.9727813
Timpas,122.7314472,11.4672917
L-Iklin,14.45415,35.90414
Pasonobenu,119.1705,-9.5502
Sanhe,117.078294,39.982718
Yuktae-dong,128.161102,40.026852
Barisan,108.7883125,-6.8448925
Del Monte,121.0041022,14.6388542
‘Anīn,35.16621,32.50171
Oxford,-63.86542,45.73345
Karsin,17.9194558,53.9024585
Codrington,-61.8204456,17.6425736
Qiaolin,106.6160052,29.6970749
Karangpapak,106.4729811,-6.9467616
Almirante Tamandaré,-49.3042082,-25.3193102
Ukrainka,30.7373521,50.1381207
Tallahassee,-84.3857442,30.4649282
Dongyong,120.241565,29.289648
Bystřany,13.8637153,50.6286293
Besole,111.8151245,-8.2484009
Mosar,27.4650969,55.2273044
Yuyang,109.720309,38.277028
Yicheng,112.257788,31.719806
Dongbian,113.751799,23.020673
Kayapa,120.9524145,16.3100898
Aix-en-Provence,5.4044268,43.5963366
Shuangquan,116.545578,40.415585
Hammarö,13.5389591,59.3192962
Agago,33.3486147,2.925082
Clanwilliam,28.158466,-25.8700559
Pokrovskoye-Streshnëvo,37.478747,55.813247
Rio Largo,-35.8482191,-9.4909905
Honglong,114.109497,22.396428
Kurumkan,103.8923786,52.53255
Vovchans’k,36.9329429,50.284234
Los Angeles,-118.4177707,33.9744806
Hengfan,113.3823545,34.2904302
Yuefeng,104.0436982,30.628795
Yuhe,103.911314,30.166551
Um Jar Al Gharbiyya,32.4078,13.8013
Huangbizhuang,114.32282,38.240246
Kebonagung,113.6770012,-8.1611036
Pervomays’ke,35.9379288,48.3245206
Shanghuang,119.567785,31.532311
Bailadores,-71.8260021,8.2563795
Al Jumaylīyah,51.0835811,25.6218514
Puyang,115.029215,35.761829
Liugong,109.3656914,24.3154419
Corroios,-9.1624406,38.6332265
Asahi,140.8585745,38.1162631
Manorom,100.1479182,15.3388555
Callahuanca,-76.6185265,-11.826817
Västerås,16.5198698,59.6124387
Libenge,18.6353764,3.6489578
Kristinehamn,14.2330452,59.2421439
Saihan Tal,112.65139,42.73583
Patzicía,-90.9259787,14.6329018
Béziers,3.2188961,43.3362822
Bern,7.4439108,46.949235
Salto,-57.9600793,-31.3854988
Bacnor East,121.7050399,17.0521348
Khairpur,68.7254605,27.5331693
Lang Suan,99.0819914,9.948601
Riangbao,123.7805,-8.244
Bafoussam,10.4284178,5.4807517
Empangeni,31.9,-28.71667
Dessalines,-72.517319,19.2579
Tlučná,13.2462275,49.7274403
Lethbridge,-112.8149467,49.6619465
Zamostochcha,27.8686163,53.8237809
Maszkienice,20.7001411,49.988725
Dukoh,96.9309771,3.6085862
Bouaké,-5.0390536,7.690466
